Organisation ID,Organisation name
1-2006645790,Fittleworth Medical Limited
1-11012401531,Laver Consultancy Limited
1-3306764272,Vita Health Solutions Limited
1-7808067788,Nightingale Homecare Suffolk Ltd
1-11223934781,Perfect Smile Newcastle Limited
1-253680472,Anytime Recruitment Limited
1-101639093,Celtic Care Services Limited
1-118166267,Alliance Home Care Limited
1-7522767833,One5 Health Ltd
1-1373458306,N L Partners
RX2,Sussex Partnership NHS Foundation Trust
1-101615780,Sussex Grange Limited
1-118165865,Swanton Care & Community (Autism North) Limited
RTD,The Newcastle upon Tyne Hospitals NHS Foundation Trust
1-2564553131,Mr Amit Nayyar
1-124805802,Coastal Care Homes Limited
1-101616955,Foresight Residential Limited
1-101647864,Linksmax Limited
1-101676918,Macmace Limited
1-681240037,Sevaline Care Homes Limited
1-101652206,WCS Care Group Limited
1-137862064,Prime Care (UK) Limited
1-101676145,Kids
1-101667667,Parkfield Health Care Limited
1-152968518,BM Pearson Ltd
1-101620677,Carlton Care Homes Ltd
1-4623766910,Ashmere Nottinghamshire Limited
1-12062537913,Millennium Health Ltd
1-10200144798,West Northamptonshire Council
1-101616299,SummerCare Limited
1-101663011,Ruddington Homes Limited
1-101613131,Hestia Care Limited
1-101696885,The Community of St Antony & St Elias
1-153024515,E-Zec Medical Transport Services Ltd
RWV,Devon Partnership NHS Trust
1-199793496,Vocare Limited
1-101616128,Premiere Care (Southern) Limited
1-101728184,Coveberry Limited
1-713209644,Chailey Heritage Foundation
RNN,North Cumbria Integrated Care NHS Foundation Trust
1-139906613,Strong Life Care Limited
1-6197215706,De Vere Care Partnership Ltd
1-7261766525,Sanders Senior Living Limited
1-101608688,London Borough of Ealing
1-101640373,Trafford Council
1-153020960,Dr. Sandeep Luthra
RXM,Derbyshire Healthcare NHS Foundation Trust
1-102643140,National Schizophrenia Fellowship
1-101645806,Silverdale Care Homes Limited
1-101657297,Cambian Signpost Limited
1-3069455112,Yelverton Care LLP
1-244273716,Optalis Limited
1-199808572,Modality Partnership
1-470508438,Harbour Healthcare Ltd
1-119229129,Deeper Care Solutions Ltd
1-116865761,Maria Mallaband Care Homes Limited
1-9628970512,EMFS Group Ltd
1-101681482,Orchard Care (South West) Limited
1-6482294280,Khaya Project Ltd
1-101694179,Middlesbrough Borough Council
1-101644562,Mutual Benefit Care Limited
1-101726720,Accuvision Limited
1-6856227200,Younique Care Ltd
1-2147135376,Heera Care Ltd
1-9697236165,Beloved Homecare Ltd
1-8967128719,Yorkshire Orthodontics Limited
1-101608787,Holistic Care Provision Limited
1-153016004,Ashton Road Limited
RH5,Somerset NHS Foundation Trust
1-101663907,Manucourt Limited
1-5653132953,Agincare (Derby) Limited
1-7880590925,Belvedere Care Homes Ltd
1-152967970,Dental Arts Studio (Dental Care) Limited
1-884268744,Widnes Highfield Health Ltd
1-101653436,Springfields Limited
1-199762556,Claremont Medical Practice
1-152984811,Dr. Mohammed Bholah
1-161846661,Dr Simon Clavell-Bate
1-101658063,Care and Wellbeing Group Limited
1-5408569904,Saffronland Homes 2 Limited
1-101715511,Mr George Dixon & Mrs Angela Dixon & Mrs Susan Ellis
1-626291993,Gowtham Makam
1-11780348689,Brighter Bloom Healthcare Group Ltd
1-8974776775,Assured Healthcare Ltd
1-101630903,D & L Price
1-2133717194,Farecare Gloucestershire Limited
1-3306170942,Enfield One Limited
1-152973930,Mr. Daniel Evans
1-101679155,Hereward Care Services Ltd
RAX,Kingston Hospital NHS Foundation Trust
1-7190923044,Curis Healthcare Limited
RJE,University Hospitals of North Midlands NHS Trust
RWE,University Hospitals of Leicester NHS Trust
1-101616928,Crabtree Care Homes
1-13408939851,St Margarets Homecare Limited
1-455240048,Mrs Flora Rufus Mason
1-1371378755,Chantastic Limited
1-127561535,Salveo Care Ltd
1-199717610,Queens Park Health Centre
1-101670073,Complete Care Services (Rossendale) Ltd
1-101666806,Homesdale (Woodford Baptist Homes) Limited
1-3924958468,Rainbow Personnel Limited
1-3531243413,Rymacare Limited
1-152982692,Dr. Sonali Mehta
1-1214661759,Nomase Care Ltd
1-5104896690,Fanco Ltd
1-153008675,Mr. Michael Simpson
1-101676855,Rainbow Trust Children's Charity
1-101666725,Denehurst Care Limited
1-2020304475,Sandwell Care Services Limited
1-152952530,Dr Carol Adeloye
1-2981158348,Reedsfield Care Ltd
RJ6,Croydon Health Services NHS Trust
1-2067301363,Your Baby Scan Ltd
1-101676936,A1 Quality Home Care Limited
1-13826465606,R J Francis Care Homes Limited
1-178020471,Chameleon Care Limited
1-6302653095,Mr Kuldip Singh Gakhal
1-8013370378,Dynasty Care Services Limited
1-134333576,Ultimate Care Limited
1-1998216320,Cloudwalk Ltd
1-2745532042,Your Lifestyle Nationwide Limited
1-1313499070,The GP Surgery Ltd
1-642947500,Heaton Road and Blakelaw Dental Practice Partnership
1-101709854,Mrs R Ghai
1-1642125348,Havering Health Ltd
1-441228632,Rhodsac Community Living Ltd
1-8739815477,Central Medical Solutions Ltd
1-101620614,Stilecroft (MPS) Limited
1-1548728444,Ruby Care Limited
1-101659184,Autism Care (UK) Limited
1-153033033,Kleibercare Limited
1-4461100857,Capella Care Limited
1-2352078344,Windmill (Heaton) Orthodontics Limited
1-152980548,Dr. Serena Rochford
1-177640195,Friary Care Limited
1-6413535907,Alpha Care SW Ltd
1-101714100,Mr Paul and Mrs Gloria Crabtree
1-118166357,Agincare UK Limited
1-101635546,Demelza House Childrens Hospice
1-2087566821,Randox Health London Ltd
1-101665603,Vision Homes Association
1-2000446854,Mr Akaash Bagga
1-199760472,Bosvena Health
RM3,Northern Care Alliance NHS Foundation Trust
1-199767788,Shawbirch Medical Centre
1-101647308,Carmel Care & Support Limited
1-144522144,Unified Care Limited
1-101665577,Bethphage
1-184856305,Homecare4U Limited
1-8855755386,The Forum Practice Ltd
1-146911430,Valley Care Direct Limited
1-12769436245,Quality Healthcare Professionals Ltd
1-3621467910,Langdale House Limited
1-101670861,Quality Lifestyle Ltd
1-101634337,Elysium Healthcare (Acorn Care) Limited
1-2553685965,Sunderland GP Alliance Limited
1-153022459,Dr. Imran Aslam
1-13148347153,AMK Orthodontics Limited
1-1688861505,Serenity Inmind Limited
1-101621839,Mrs K Kalkat and Mr GS Nijjar
1-101658855,Monarch Consultants Limited
1-1380183539,Parklands Care Services Limited
1-101619418,Admiral Healthcare Limited
1-1577172818,Cocklebury Farmhouse Homes Limited
1-101679638,Lakeview Rest Homes Limited
1-153025030,Health Transportation Group (UK) Limited
1-101665100,Weatherstones House Care Limited
1-101642256,Bristol City Council
1-101619958,Inspiration Care Limited
1-101655731,Brendoncare Foundation(The)
1-116865360,Cambian Asperger Syndrome Services Limited
1-152981055,Revive Dental Care Limited
1-152968577,Access Dental Ltd
1-101608256,W & S Red Rose Healthcare Limited
1-2335160258,Portsmouth Primary Care Alliance Limited
1-153015168,Spectrum Associates (London) Ltd
1-1282790328,Ealing Dental Specialists Limited
1-101656071,St. George's Hospital Limited
1-6441619096,Isle of Wight Homecare Ltd
1-101665747,Chanctonbury Health Care Ltd
1-101648453,Community Links (Northern) Ltd
1-7574503516,Smile Care South Limited
1-11181932213,AR & NAM Medical Ltd
1-101619652,Step-A-Side Care Limited
1-102642912,The Orders Of St. John Care Trust
1-126775082,Compass - Services To Improve Health And Wellbeing
1-101641602,Winslow Court Limited
1-101677680,Universal Care Services (UK) Limited
1-101672001,Buckland Care Limited
1-119235696,Consensus Support Services Limited
1-6118642230,Fairdene Lodge Care Home Limited
1-101649285,Outreach 3-Way
1-191578524,St. John Ambulance
1-13883195578,Care Dorset Limited
1-101644059,Milewood Healthcare Ltd
1-646878761,Bamburgh House Ltd
1-101660431,Shire Care (Nursing & Residential Homes) Limited
RFF,Barnsley Hospital NHS Foundation Trust
1-101696058,Mr & Mrs R C Northover
1-101620182,Karlyon Care Ltd
1-101685102,P & C Residential Services Limited
1-11482599040,Skoyles and Associates Partnership
1-131465082,Vital Healthcare Services Limited
1-102642955,Barchester Healthcare Homes Limited
1-1156577315,Alina Homecare Ltd
1-101676649,Birmingham City Council
RXL,Blackpool Teaching Hospitals NHS Foundation Trust
1-101696921,Sutton Court Homes Ltd
1-153023267,Denora Healthcare Ltd
1-126776320,The Doctors Laboratory Limited
1-13561500125,W4U Solutions Limited
1-205038219,Mr Harry Shiers
1-328569033,Your Healthcare Community Interest Company
1-367549144,Alliance Dental Care Limited
1-101669587,Precious Homes Limited
1-9399146740,Ansar Projects
1-101696822,Mr Savvas Michael
RY4,Hertfordshire Community NHS Trust
1-757123384,Oldham Care and Support Ltd
1-891639347,Gemcare South West Limited
1-10041083312,Rosmead Healthcare Ltd
1-102642790,Royal Mencap Society
1-2562798694,Gordena Care Ltd
1-101664069,Rosebank Nursing Homes Limited
1-152966479,Dentapol Limited
1-2151193774,True Quality Services Ltd
1-2024606996,Aspire Community Benefit Society Limited
1-153009658,G K A (1996) Ltd
1-130792812,Ashtonleigh Homes Ltd
1-131469151,Assured Care Services Limited
1-119229246,Millennium Care Services Limited
1-11057677797,Fertility in Community Limited
1-883807605,The Old Surgery Dental Practice Ltd
1-101652936,Mission Care
1-2369937180,Visage Harpenden Limited
1-4095458449,Alcedo Blue Limited
1-290140679,Autism & Aspergers Care Services Ltd
1-101697020,Vijaykoomar Kowlessur
1-2120584677,Angel Care (Orchid Care Homes) Ltd
1-102643390,Lasercare Clinics (Harrogate) Limited
1-101678842,Bramling Cross Care Limited
1-9293374085,Elmfield Care Limited
1-1235588928,The Southwick and Whitburn Dental Practice Partnership
1-152972667,East Yorkshire Dental Studios Limited
1-152986573,Quality Dental Care Limited
RDE,East Suffolk and North Essex NHS Foundation Trust
1-6064159112,A & B Healthcare Limited
1-101620218,Sunnyside House Limited
1-153011680,Dr Kamaljit Aulak
1-1190471906,Michael Frank Lee and Bahader Singh Panesar
1-10794429703,Pentacare Services Ltd
1-101643093,The Royal Star & Garter Homes
1-1863932102,Northern Circumcision Clinic
1-125892620,Alliance Medical Limited
1-990513577,Apex Dental Care Partnership
1-4469835410,Linton Support Ltd
1-101662343,Ark Care Services Limited
1-101647918,I Care (GB) Limited
1-101675120,Southampton City Council
1-1629704536,Primary Integrated Community Services Limited
1-101677985,Care Services (UK) Ltd
1-7648074594,Greenstaff Medical limited
1-4081007300,Home Counties Clinics Limited
RRF,"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust"
1-171573317,Mr. Sanjeeb Nepali
1-9700528434,Cornellius Healthcare Ltd
1-10963765881,Khosravani Dental
1-101726655,MASTA Limited
1-101628527,Homecroft (Four Oaks) Limited
1-1432083426,Domain Care North West Ltd
1-199743221,Dulwich Medical Centre
1-4305296870,"John Skelton, Lee Worthington, Margaret Naylor and Michael Naylor"
1-139903154,Georgian House (Torquay) Limited
1-2136468543,Plans4Rehab Limited
1-205030168,Dr. Peter Ilori
1-2839906814,Treatment Direct Limited
1-101639955,Federation of Jewish Services
1-119227410,Barker Care Limited
1-2781088143,DHU 111 (East Midlands) CIC
1-1451525461,Time for Teeth Limited
1-152997866,Dr. Roy Nicholson
1-6775785908,Kingsley Home Care Services Limited
1-1974178545,Sussex Baby Scans Ltd
1-3724413315,ICare Healthcare Limited
1-2103767480,Salford Primary Care Together CIC
1-101694482,Autism Initiatives (UK)
1-1684564361,Milton Lodge Limited
1-191588287,Elite Dental Clinic
1-101663073,Swallowcourt Limited
1-152963660,Jubilee and Torcross Dental Partnership
1-101682591,Active Care Homes Limited
1-7094083535,Optima HCI Limited
1-3633346393,Compassionate Healthcare Limited
1-101662584,The Cheshire Residential Homes Trust
1-9785302706,Oaktree Support Services Limited
1-2566910019,SBL Care Ltd
1-119234257,Raycare Limited
1-101668892,London Borough of Barking & Dagenham
1-199722326,Hounslow Medical Centre
1-2655321121,Coco Dental Limited
1-101642327,Cedar Care Homes Limited
1-119235881,Avenues London
1-101728418,The David Lewis Centre
1-6619378377,Cade Care Limited
1-199757455,Lakeside Healthcare Partnership
1-1872694444,Newcastle General Practice Services Ltd
1-101661653,Durnford Society Limited (The)
1-101616057,Adelaide Care Limited
1-199742564,Hetherington Group Practice
1-199810662,Symphony Healthcare Services Limited
1-8544062580,Roseberry Care Centres (England) Ltd
1-139905518,Lifeways Rose Care and Support Limited
1-5339287072,Ethica Services Limited
1-153003357,Jaydip Limited
1-3087202933,Ashmere Derbyshire Limited
1-101612035,Sir Josiah Mason's Care Charity
1-138765913,Bridgewater Home Care Ltd
1-10001429521,Phoenix Response Services Limited
RP1,Northamptonshire Healthcare NHS Foundation Trust
1-2584057066,Gogomadu Care Limited
1-101677778,229 Mitcham Lane Limited
1-152974400,Dr. Safeer Butt
1-152982264,Boodles Limited
1-2650348188,Falsgrave Dental Surgery
1-3256783656,GCH (Hertfordshire) Ltd
1-101668856,The Drive Care Homes Limited
1-101677715,Cephas Care Limited
1-2092043376,Dignity Direct Homecare Limited
1-5398975320,Dr Rameshwar Sharma
1-101616182,Z & M Care Limited
1-571511981,Mr Asif Hamid
1-102642754,Somerset Care Limited
1-10843474340,YoD Ltd
1-1283152189,Kevindale Residential Care Home
1-2227944886,New Hope Care Ltd
1-101606338,One Housing Group Limited
1-6745422212,Dr Hmida Dimitri Haddjeri
1-101689471,Sevacare (UK) Limited
1-101652578,Home from Home Care Limited
1-101619211,Vista Care Limited
1-699256134,Capital Homecare (UK) Limited
1-6692175560,Health and Beyond Limited
1-137954374,Richmond Villages Operations Limited
1-247596981,Understanding Care (Warwickshire) Limited
1-101649803,Nugent Care
1-1688778771,Wings Care (North West) LLP
1-1029483016,G & P Healthcare Limited
1-122134347,Care 1st Limited
1-11427359589,Swivel Healthcare Ltd
1-101728358,iSight Limited
RPY,The Royal Marsden NHS Foundation Trust
1-101608319,Castel Froma Neuro Care Limited
1-101653026,SCC Adult Social Care
1-101668883,Avocet Trust
1-15132791195,KARLEX ROCLYNS CARE LTD
1-3031141594,One Health Lewisham Limited
1-101688408,Hartford Care Limited
1-101662172,Parkhaven Trust
1-5684677157,Haringey Healthcare Limited
1-125635229,Roselock Limited
1-101708032,Mr and Mrs T A Mills
1-171572980,Dentasmile Limited
1-6857242179,St Mary's (ASC) Limited
RXQ,Buckinghamshire Healthcare NHS Trust
1-2265800775,Bradbury House Limited
1-7300498504,Richmond Road Partnership
1-101669807,Origin Housing Limited
1-11468748557,Forever Care (North East) Limited
1-101683093,Home Life Carers Limited
1-2253511234,Lotus Home Care Limited
RHU,Portsmouth Hospitals University NHS Trust
1-5863479730,OCL London Limited
1-101725191,The Myton Hospices
1-806103656,Baschurch Care Limited
1-101677262,Resolve (Care Northern) Limited
RWP,Worcestershire Acute Hospitals NHS Trust
1-2277924156,Ravenscroft Healthcare Limited
1-119233042,Harrow Council
1-101689435,Jemini Response Limited
1-1846005398,Blackhorse and Causeway
1-101612475,Premier Care Homes Limited
1-8790305074,Davinci Smiles Limited
1-199726415,Longfield Medical Centre
1-125892865,Unilabs Limited
1-199771113,Eden Court Medical Practice
1-119234241,Winnie Care (Macclesfield) Limited
1-118175940,Chapel House Care Ltd
1-101631083,Steps Residential Care Limited
1-101650061,Acorn Villages Limited
1-152955509,Mr. Waleed Askar
1-209925570,Dr. Shala Imani
1-101728587,St. Giles Hospice
1-3746058842,Wellington Care Limited
1-101690222,Optimal Living Ltd
1-101618005,Wishmoor Limited
1-120629091,Care First Class (UK) Limited
1-101606626,Foxglove Care Limited
1-8122989345,Marsh Farm Dental Partnership
1-2202093834,Victoria Nursing Group Limited
1-191553487,Dr. Mohammed Ashfaq Quraishi
1-101645959,Alina Homecare Specialist Care Limited
1-101642345,Supportive SRC Ltd
1-180875150,Morecambe Care Limited
1-101695924,Heathcotes Care Limited
1-2068608780,Swillbrook Limited
1-1977487081,Berkeley Home Health Limited
1-102643131,Affinity Trust
1-101655981,Excellence Care Ltd
1-199723650,Greenbrook Healthcare (Hounslow) Limited
1-127871479,HOPE Worldwide
1-1745204910,Diagrama Healthcare Services Limited
1-199732089,The Lawson Practice
1-101650168,Borough Care Ltd
1-101670456,Wakefield MDC
1-1632655813,Balance (Support) CIO
1-161845721,Tavistock Dental
1-152986832,Oradi Ltd
1-101693057,St Andrews Care Homes Ltd
1-101617386,Bank House Care Homes Limited
1-12690115664,Neo Orthodontics North East Limited
1-101659529,Advance Health Care UK Ltd
1-2054284066,John Munroe Group Limited
1-3285010884,Cima Care Consortium Ltd
1-6403860612,Orthodontics by Eva Winchester Ltd
1-101673117,Avalon Group (Social Care)
1-811227596,Chartwell Care Services Limited
1-199814916,Community Based Care Health Federation Limited
1-101712150,Mrs Manny Wragg
1-314631682,Upward Care Limited
1-101634985,Alexandra Health Care Limited
1-101668007,Sheffield City Council
1-1277509303,Karva Care Services Limited
RAP,North Middlesex University Hospital NHS Trust
1-2767178630,Lone Care Services Ltd
1-460631718,West Bank Residential Home Limited
RY9,Hounslow and Richmond Community Healthcare NHS Trust
1-152973660,Dr. Paul Rolfe
1-4188071390,Kevom Ltd
1-153031109,Sharing Smiles Orthodontics Ltd
1-199694755,Riverside Surgery
1-101665064,Yunicorn Limited
1-2198944496,Impressions Orthodontics Limited
1-648002311,Westwood Homecare (North West) Limited
1-101611324,Greta Cottage Limited
1-1287905364,The Centre London Limited
1-2700539919,1 Homecare Ltd
1-156963229,Dental Dimensions Limited
1-199734781,West Green Surgery
1-199687981,Cestria Health Centre
1-2113233983,Elite Careplus Ltd
1-101664042,Goring Care Homes Limited
1-101635243,St. Luke's Hospice (Basildon & District) Limited
1-9214577903,Hum2n Ltd
1-101625161,Mrs Meetranee Chintaram
1-8889256288,Hanya Healthcare Ltd
1-101614679,Extrafriend Limited
1-419501596,Maison Dental Limited
1-118165923,Counticare Limited
1-101683323,Community Therapeutic Services Limited
1-101694772,M D Homes
1-1824267597,Sante Care At Home Limited
1-364132182,Perfect Smile Bracknell Limited
1-1914459528,Mayflower Healthcare Alliance Ltd
1-156968086,Dr. Dwindar Nar
1-101613599,North East Autism Society
1-152956275,Dr. Irene Amrore
RWJ,Stockport NHS Foundation Trust
1-1977415292,Druglink
1-1856852210,Gian Healthcare Ltd
1-509756899,Broome End Ltd
1-153008944,Dr. Smita Rajani
REF,Royal Cornwall Hospitals NHS Trust
1-101643156,Ordinary Life Project Association(The)
1-199769126,Prima Care Surgeries
1-2553286183,Northwick Manor Dental Practice
1-137614773,Top Care Homes Limited
1-101688426,CCS Homecare Services Ltd
1-7489281905,Dental Sense Partnership
1-101679773,Care Outlook Ltd
1-116865157,Newlife Care Services Limited
1-238678920,Newbarn Limited
1-101725645,Modus Care Limited
1-5648676443,St James Dental Practice
1-101650105,The Orchard Trust
1-199791135,FCMS (NW) Limited
1-199746702,Canbury Medical Centre
1-120627415,Crown Care Homes Ltd
1-454766085,Florijn Care Limited
1-427404450,Dr Hinal Patel and Dr Shivali Patel
1-153024395,Falck UK Ambulance Service Limited
1-101660457,Care By Us Ltd
1-101635503,Acorns Children's Hospice Trust
1-167771692,Oswald House Care Home Limited
1-10595981355,Like Care Limited
1-101662796,St. Cecilia's Care Services Limited
1-101661841,Portelet Care Limited
1-101656952,Nazareth Lodge Limited
1-101608535,Autonomy Life Ltd
1-101639730,Churchill Health Care Ltd
1-11374583959,R & E Kitchen Care Limited
1-243462181,Prior's Court Foundation
1-101661985,Heart of England Mencap
1-153033131,The Smile Studios Limited
1-153037321,Eurodental
1-8062455670,LCHMG Limited
1-351584301,HCRG Care Services Ltd
1-4695680717,Primary Care Management Solutions Ltd
1-101664688,Stroud Care Services Limited
1-8775506336,Active Pathways Supported Living Ltd
RMP,Tameside and Glossop Integrated Care NHS Foundation Trust
R1H,Barts Health NHS Trust
1-5203239975,Egodent Ltd
1-3558261389,Medical Skin Clinics Ltd
1-101607797,Mayflower Care Homes Limited
1-101649812,Autism Together
1-101679173,Pine View Care Homes Ltd
1-376276120,Guardian Angel Carers Ltd
1-119229777,Astra Homes Limited
1-2190021426,Brightside Carers Limited
1-3753807860,YOU & I CARE LTD
RGN,North West Anglia NHS Foundation Trust
1-101660083,Vista
1-7063340545,Pride Home Care Limited
1-101615593,The Together Trust
1-101691533,Gradestone Limited
1-284869887,Ashingdon Hall Care Limited
1-124741715,Coate Water Care Company (Church View Nursing Home) Limited
1-1333021352,Hoe Street Dental Surgery Limited
1-101692167,Crawfords Homes Limited
1-101687015,Healey Care Limited
1-322295454,Bondcare Willington Limited
1-419717474,Pearl Dental Studios Limited
1-101696211,Mr & Mrs Y Jeetoo
1-274331683,First Community Health & Care C.I.C.
1-12695484615,Harley Health Village Ltd
1-101615967,Kapil Care Homes Limited
1-101683937,Octavia Housing
1-6166937530,Claregrange (Trading) Limited
1-4463630840,Dr Patrizia Beatrice Pasquali
1-5403182642,Bevancare LTD
1-101720741,Care at Home (Wearside) Limited
1-101665226,J Sai Country Home Limited
1-153037123,Park House Dental Practice
1-101704304,Coast Care Homes Ltd
1-101672045,Omega Elifar Limited
1-101676783,Rowans Care Limited
1-199705507,Dr Hale and Partners
1-131464622,EAM Lodge Community Interest Company
1-1152790220,Crown Care IV Limited
RAE,Bradford Teaching Hospitals NHS Foundation Trust
1-101708425,Mr & Mrs S Wortley
1-5968174080,Pier Health Group Limited
1-101696598,Alliance Care and Support Limited
1-101667199,St Martins Housing Trust
1-101728151,North London Hospice
1-464366111,Mr Shapour Sabbaghi-Sarabi
1-8545065340,Hanover D Practice Ltd
1-101642168,Lancashire County Council
1-241492304,Cheltenham Orthodontics Limited
1-479920863,Dr Hanel Suresh Nathwani
1-10000227676,Healthcare Employment Partners Ltd
1-152986603,Mr. Pramod Sabharwal
1-101728812,Hospice in the Weald
1-5225817767,Hickam Healthcare Ltd
1-4970350104,Kent House (Select) Limited
1-102642895,Anchor Hanover Group
1-1418637579,Williams Dental Practice
1-1399953011,Niche Care Limited
1-101678753,Mediline Home Care Limited
1-101671690,Midshires Care Limited
1-191578397,Mr. Marius McGovern
1-101639480,Apple House Limited
1-119229192,Next Step Support Limited
1-266121444,Care In Mind Limited
RWH,East and North Hertfordshire NHS Trust
1-6321558089,McCance Ltd
TAD,Bradford District Care NHS Foundation Trust
RW4,Mersey Care NHS Foundation Trust
1-161847113,Shaw & Associates Dental Surgeons Ltd
1-152955886,Mr. Joseph Dwyer
1-7573363107,Perfect Smile Wokingham Limited
1-102643516,Nuffield Health
1-1955447024,Oaklea Care Limited
1-101663934,Colville Care Limited
1-101697173,Regency Healthcare Limited
1-119234275,Caring Together Charity
1-101696777,G Plane and Miss D Newman
1-1564840927,Diversity Health and Social Care Limited
1-101620407,Lindale Homes Limited
1-3527893177,Buckinghamshire Council
1-8483070416,Sugarman Health and Wellbeing Limited
1-116992878,Shaw Healthcare (Specialist Services) Limited
1-1820285156,Mr Ahmed Giaziri
1-274303592,2M Health & Home Care Services Ltd
1-101678368,Aspirations Care Limited
1-101608985,A L A Care Limited
1-134010120,Care Homes UK Ltd
1-101678914,Senex Limited
1-101667579,The Kent Autistic Trust
1-1238190312,The Next Step Trust
1-3915522863,Independence Support Ltd
1-721799424,"Stephen Cowley, Roderick Ingham and Jose Angelo"
1-101691419,Lodge Group Care UK Limited
1-101670082,Coventry City Council
1-101646477,Adara Healthcare Limited
1-1278606286,Kore Associates Limited
RVV,East Kent Hospitals University NHS Foundation Trust
1-102642772,FitzRoy Support
1-101649623,Azure Charitable Enterprises
1-101668127,Kisimul Group Limited
1-101614760,Scotts Project Trust
1-2883625195,Croftwood Care (Cheshire) Limited
1-101668295,East Riding of Yorkshire Council
1-101696804,Thomas Owen Care Limited
1-101725443,The Mole Clinic Limited
1-101654283,Heathfield Care Homes Limited
1-153005610,Chagford Dental Practice
1-8174816115,Oakwood Lodge Care Home Limited
1-399929026,Colten Care (2009) Limited
1-153002022,Mrs. Jacqueline Doran
1-101611405,Abbeyfield Newcastle Upon Tyne Society Limited(The)
1-101697182,Sunny Okukpolor Humphreys
1-287140284,D. J. Haswell Limited
1-8485919135,Sandgate and Pencester Partnership.
1-152970076,Dr. Claes Andreasson
1-6118627456,Lenore Care Ltd
1-6399010850,CSN Care Group Limited
1-152963957,Elm Villa & Madeley Practice Limited
1-152971811,Dr. Roger Bromiley
1-152960132,Mr David Figaji
1-152968279,Cherry Tree Dental Care
1-101689078,The Fisher Partnership Limited
1-101619985,Adelaide Healthcare Limited
1-2008193751,Nottingham Community Housing Association Limited
1-3232915806,KRG Care Limited
1-199772648,The Gables Medicentre
RX1,Nottingham University Hospitals NHS Trust
1-153032631,Alchemy Dental Practice Limited
1-152991359,Dr. Bharpur Sanghera
1-7779216903,Virtue Health Services Ltd
1-101725934,The Whiteley Clinic Limited
1-2446845849,ANA Services Ltd
1-152991728,Makwana & Patel Dentiques Limited
1-101640785,The Northam Care Trust
1-4204379714,Indigo Care Services (2) Limited
1-1387303084,PossAbilities C.I.C
1-346742048,Clark James Norwich Limited
1-118164237,Strathmore Care Services Limited
1-7013096132,Mr Piyush Kumar Patel
1-5587752758,Aaban Partnership Ltd
1-148440184,Parcs Healthcare Limited
1-1513809410,Care and Resolve Limited
1-185278549,Dennis Moore - Care Ltd
1-935542850,Homecare Unique Limited
1-5211548420,City Home Care Limited
1-101688176,Golfhill Limited
1-397085785,Langley House Trust
1-118165943,Valeo Limited
1-199763680,Devon Doctors Limited
1-7665486671,Cadis Clinics Ltd
1-101696490,New Boundaries Community Services Limited
1-101691506,Parvy Homes Limited
1-3652765584,Midland Care Homes Ltd
1-101694241,DRS Care Homes Limited
1-833859803,Dental Harmony Ltd
1-101606536,West House
1-101607824,Thornleigh Camphill Communities Ltd
1-171563660,Dr. Sarah Hussain
1-9157837830,Axiom Home Care Limited
1-101640543,ACL Homes Plus Limited
1-1772846870,Meritum Integrated Care LLP
1-7568139871,Hearology Limited
1-12195745608,The Order of St. Augustine of The Mercy of Jesus
1-101674394,Temp Exchange Ltd
1-101649177,Grace and Compassion Benedictines
1-152986713,Shams Moopen Dental Practice
1-7161260363,Genesis CTE Limited
1-152996025,Apex Dental Care Limited
1-3508042374,Aspens Charities
1-8330673350,Barchester Hellens Limited
1-305829465,HC-One Limited
1-3213883859,MF Dental Partners
1-101690267,Fourways (Sidmouth) Limited
1-116865303,Living Ambitions Limited
1-152967574,Mr Jayesh Kotecha
1-6166656847,Southwest Orthodontists Limited
1-228301919,Dr Vijay Vithani
1-101639820,Choices Housing Association Limited
1-101618995,Accommodating Care (Southport) Limited
1-152981773,Dr. Shushil Dattani
1-153034932,Dr. Jonathan Hall
1-101615434,Calderdale Metropolitan Borough Council
RJZ,King's College Hospital NHS Foundation Trust
1-209925168,K S Hunjan Associates Limited
1-101663774,Enham Trust
1-153007513,Denclean Dental Practice Limited
1-375710028,Warriewood Ltd
1-101666330,Forge House Care Ltd
1-1135976252,Qualities Services Ltd
1-101722983,Star Nursing & Care Services Limited
1-13435862449,One Care Services Ltd
1-101609084,Moundsley Hall Limited
1-143804851,Crossroads Care Kent
1-139188160,Social Care Solutions Limited
1-14142727285,Transform Healthcare Holdings Limited
1-10085636968,Professor Nicholas Frederick Barker
1-101632595,Mr & Mrs B Clarke and Mrs C Mills
1-152950768,Harunani & Co Group of Dental Surgeries
1-153005640,Den Dental Group Practice LLP
1-191575209,David White
1-4971027250,Kindred Hearts Ltd
1-152976800,Dental Care Clinic Limited
1-101612188,Laburnum House (Shaw) Limited
1-1242103343,Chenai Holistic Home Care Agency Ltd
1-10348765255,Companion Care Solutions Limited
1-757527180,Cadmus Dental Care Ltd
1-8923688071,TLC CARE HOMES BLAMSTERS RESIDENTIAL LIMITED
1-5463243183,Lincolnshire and District Medical Services Limited
1-101620039,Althea Healthcare Properties Limited
1-7640399870,Red Oaks Care Ltd
1-153024565,British Red Cross Society
1-101677706,William Blake House Northants
1-120628765,Heltcorp Limited
1-13452103405,Pindrop Hearing Limited
1-3490270418,Hey Baby 4D Limited
